id_question,thème,question,choix,réponse_initiale,réponse_validée,statut,référence_document,référence_section_page,explication_courte,remarque_pédagogique
RADAR-011,Surveillance ATS / Radar,"Si le code Mode A affiché diffère du code assigné, le pilote doit être invité à :",Couper immédiatement le transpondeur | Sélectionner de nouveau le code approprié | Passer sur 7700 | Changer de fréquence,Sélectionner de nouveau le code approprié,Sélectionner de nouveau le code approprié,Validée Doc4444,Doc 4444,"Doc4444, §8.5.3.1",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-012,Surveillance ATS / Radar,"Sans plan de vol, l’identification transmise par un aéronef Mode S est :",Son immatriculation | Le code 7700 | Le niveau de vol | Le nom du commandant,Son immatriculation,Son immatriculation,Validée Doc4444,Doc 4444,"Doc4444, §8.5.3.3",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-013,Surveillance ATS / Radar,"Avant le début des services de surveillance ATS, il faut normalement établir :",Un contact direct pilote-contrôleur | Un contact avec la compagnie seulement | Un NOTAM | Un SIGMET,Un contact direct pilote-contrôleur,Un contact direct pilote-contrôleur,Validée Doc4444,Doc 4444,"Doc4444, §8.3.2",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-014,Surveillance ATS / Radar,Le guidage radar se fait en donnant au pilote :,Des caps précis | Des routes aléatoires | Uniquement des vitesses | Des estimées OLDI,Des caps précis,Des caps précis,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 4.6 Guidage",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-015,Surveillance ATS / Radar,"À la fin du guidage, le contrôleur doit demander au pilote de :",Reprendre sa propre navigation | Couper le transpondeur | Maintenir silence radio | Changer indicatif,Reprendre sa propre navigation,Reprendre sa propre navigation,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 4.6 Guidage",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-016,Surveillance ATS / Radar,La modification de vitesse peut être demandée pour :,Réduire les besoins en guidage | Remplacer toute séparation verticale | Annuler le plan de vol | Éviter un NOTAM,Réduire les besoins en guidage,Réduire les besoins en guidage,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 4.10",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-017,Surveillance ATS / Radar,OLDI sert principalement à :,Échanger automatiquement les données de vol | Diffuser les METAR | Mesurer le vent | Remplacer les fréquences VHF,Échanger automatiquement les données de vol,Échanger automatiquement les données de vol,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, §3.15 OLDI",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-018,Surveillance ATS / Radar,"En cas de fréquence bloquée, la première mesure supplémentaire est de :",Tenter d’identifier l’aéronef en cause | Fermer le secteur | Annuler tous les plans de vol | Déclarer DETRESFA immédiatement,Tenter d’identifier l’aéronef en cause,Tenter d’identifier l’aéronef en cause,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 9.1 Fréquence bloquée",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-019,Surveillance ATS / Radar,"Si l’aéronef bloquant est identifié, on peut tenter le contact via :","121.5 MHz, SELCAL ou fréquence compagnie | Uniquement téléphone pilote | Uniquement fréquence météo | Uniquement CPDLC","121.5 MHz, SELCAL ou fréquence compagnie","121.5 MHz, SELCAL ou fréquence compagnie",Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 9.1 Fréquence bloquée",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
RADAR-020,Surveillance ATS / Radar,Les modes d’urgence ADS-B doivent être affichés :,Clairement et distinctivement | Seulement dans le journal papier | Après 30 minutes | Uniquement si le pilote le demande,Clairement et distinctivement,Clairement et distinctivement,Ambiguë,Doc 4444 / Manex CCR Agadir,Doc 4444 8.5.4/8.8.1 et Manex 4.4/6 - à préciser,"L'idée générale est plausible, mais la référence initiale Doc4444 chapitre 8.2 est trop vague. La question doit être confirmée avant usage noté.",Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-001,Procédures / CCR Agadir,Quelle définition correspond à une autorisation ATC ?,Autorisation de manœuvrer dans des conditions spécifiées | Information météo uniquement | Message de détresse | Plan de vol déposé,Autorisation de manœuvrer dans des conditions spécifiées,Autorisation de manœuvrer dans des conditions spécifiées,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, §3.8 Autorisation de contrôle",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-002,Procédures / CCR Agadir,L’objet principal d’une autorisation ATC est :,Accélérer la circulation et séparer les aéronefs | Remplacer le commandant de bord | Fournir uniquement la météo | Éviter la rédaction de NOTAM,Accélérer la circulation et séparer les aéronefs,Accélérer la circulation et séparer les aéronefs,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, §3.8.1",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-003,Procédures / CCR Agadir,INCERFA correspond à :,Phase d’incertitude | Phase de détresse | Intervention illicite | Message METAR,Phase d’incertitude,Phase d’incertitude,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 5, Phases d’alerte",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-004,Procédures / CCR Agadir,"Dans la CTA Agadir, l’espace RVSM est compris :",FL290 à FL410 inclus | FL195 à FL460 | SFC à FL125 | FL280 à FL430,FL290 à FL410 inclus,FL290 à FL410 inclus,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, §3.18.2 Procédures RVSM",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-005,Procédures / CCR Agadir,"Entre deux aéronefs homologués RVSM, le minimum vertical est :",1000 ft | 2000 ft | 3000 ft | 500 ft,1000 ft,1000 ft,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, §3.18.2 Procédures RVSM",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-006,Procédures / CCR Agadir,"Entre aéronef d’État non homologué RVSM et tout autre aéronef, le minimum vertical est :",1000 ft | 2000 ft | 3000 ft | 500 ft,2000 ft,2000 ft,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, §3.18.2 Procédures RVSM",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-007,Procédures / CCR Agadir,"En classe E, les organismes ATC assurent la séparation :",Entre IFR seulement | Entre tous les vols VFR | Entre VFR et VFR | Aucune séparation,Entre IFR seulement,Entre IFR seulement,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 3.2 Classification",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-008,Procédures / CCR Agadir,"En classe G, les services assurés sont :",Information de vol et alerte | Contrôle radar complet | Séparation IFR/VFR | Guidage obligatoire,Information de vol et alerte,Information de vol et alerte,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 3.2 Classification",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-009,Procédures / CCR Agadir,RNP signifie :,Qualité de navigation requise | Route non publiée | Radar navigation primaire | Régulation nationale de procédure,Qualité de navigation requise,Qualité de navigation requise,Validée Doc4444,Doc 4444,"Doc4444, Définitions",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-010,Procédures / CCR Agadir,ATFCM vise principalement à :,Équilibrer la demande et la capacité | Changer les codes transpondeur | Remplacer le service d’alerte | Calculer le carburant,Équilibrer la demande et la capacité,Équilibrer la demande et la capacité,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, §3.17.2 ATFCM",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-011,Procédures / CCR Agadir,La séparation verticale est obtenue en demandant aux aéronefs de voler :,À des niveaux différents | Sur la même fréquence | Sans transpondeur | Au même niveau,À des niveaux différents,À des niveaux différents,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, §3.18.2 Procédures RVSM",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-012,Procédures / CCR Agadir,"Même route : si position et vitesse peuvent être déterminées fréquemment, la séparation longitudinale peut être :",10 minutes | 3 minutes | 30 secondes | 1 minute,10 minutes,10 minutes,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Appendice A, séparation horizontale",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-013,Procédures / CCR Agadir,Le service assuré en classe G ne comprend pas :,Le contrôle complet de la circulation aérienne | Le service d’information de vol | Le service d’alerte | Les renseignements utiles,Le contrôle complet de la circulation aérienne,Le contrôle complet de la circulation aérienne,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 3.2 Classification",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-014,Procédures / CCR Agadir,L’espace de classe E admet :,IFR et VFR | VFR uniquement | IFR uniquement | Aucun vol contrôlé,IFR et VFR,IFR et VFR,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 3.2 Classification",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-015,Procédures / CCR Agadir,Une clairance non convenable au commandant de bord peut faire l’objet :,D’une demande d’autorisation modifiée | D’un refus sans coordination possible | D’une suppression automatique du plan de vol | D’un changement obligatoire de route sans accord,D’une demande d’autorisation modifiée,D’une demande d’autorisation modifiée,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, §3.8 Autorisation de contrôle",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-016,Procédures / CCR Agadir,Les autorisations ATC sont basées sur :,La circulation connue des services ATS | Le choix commercial de la compagnie | La météo uniquement | Le type de repas à bord,La circulation connue des services ATS,La circulation connue des services ATS,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, §3.8.1",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-017,Procédures / CCR Agadir,Un aéronef en panne radio dans l’espace RVSM doit être séparé verticalement de tout autre par :,2000 ft | 1000 ft | 500 ft | 300 ft,2000 ft,2000 ft,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, §3.18.2 Procédures RVSM",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-018,Procédures / CCR Agadir,Le minimum 1000 ft RVSM s’applique aux aéronefs :,Homologués RVSM | Non homologués en panne radio | D’État non homologués | Sans plan de vol,Homologués RVSM,Homologués RVSM,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, §3.18.2 Procédures RVSM",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-019,Procédures / CCR Agadir,La RNP exprime une performance nécessaire pour évoluer :,Dans un espace aérien défini | Uniquement au sol | Uniquement en tour de contrôle | Sans navigation,Dans un espace aérien défini,Dans un espace aérien défini,Validée Doc4444,Doc 4444,"Doc4444, Définitions",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
PROC-020,Procédures / CCR Agadir,Une fréquence bloquée exige notamment :,Identification de l’aéronef en cause et tentative de contact | Attendre la fin du vol sans action | Annuler tous les VFR | Supprimer les données radar,Identification de l’aéronef en cause et tentative de contact,Identification de l’aéronef en cause et tentative de contact,Validée Manex,Manex CCR Agadir,"MANEX CCR Agadir, Chapitre 9.1 Fréquence bloquée",Réponse cohérente avec la règle ou procédure citée ; formulation à enrichir pédagogiquement.,Question utilisable en révision. Vérifier systématiquement la référence affichée avant usage opérationnel.
BANK-001,Au Procedure,Quelle est parmi les définitions ci-après celle correspond à la région de contrôle ? - Espace aérien contrôlé situe au-dessus d'une limite déterminée par rapport a la surface.,Région de contrôle ou portion de région de contrôle en forme de couloir et dotée d'aides de,,,Validée Annexe 11,Annexe 11 OACI,Définitions : Control area,L’Annexe 11 définit la région de contrôle comme un espace aérien contrôlé établi au-dessus d’une limite déterminée.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-002,Au Procedure,Donnez la définition de l’ATFCM ?,"Service destiné à contribuer à la sécurité, à l’ordre et à la rapidité de l’écoulement de la circulation | Service destiné à l’ordre et à la rapidité de l’écoulement de la circulation aérienne en faisant en sorte | Service destiné à contribuer de la circulation aérienne en faisant en sorte que la capacité ATC soit | Expression conventionnelle désignant une phase de détresse | Expression conventionnelle désignant une phase d’incertitude. | Expression conventionnelle désignant une phase d’alerte",,,À confirmer,Annexe 11 OACI,"Annexe 11, définitions / chapitres 2-5 selon question","L’Annexe 11 est maintenant disponible, mais cette réponse doit encore être contrôlée manuellement.",Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-003,Au Procedure,Qui est responsable du respect de la réglementation relative à l’utilisation des minimums opérationnels ?,le contrôleur ; | l’exploitant ; | le commandant de bord.,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-004,Au Procedure,Le service d’information de vol dégage-t-il le pilote de ses responsabilités en ce qui concerne la prévention des collisions ?,"Non, en aucun cas ; | Oui, lorsqu’il évolue en IFR ; | Oui, lorsqu’il évolue dans la circulation d’aérodrome d’un aérodrome contrôlé ou AFIS ; | Oui, lorsqu’il évolue de nuit.",,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-005,Au Procedure,"En cas de forte turbulence empêchant de respecter l’altitude RVSM, Qu’elle est l’expression conventionnelle utiliser pour le pilote ?","- RVSM ne fonctionne pas, cause turbulence. | - Impossible RVSM, cause équipement. | - Impossible RVSM, cause turbulence.",,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-006,Au Procedure,Qu’elle est l’expression conventionnelle pour vérifier l’homologation RVSM d’un A/C ?,- Êtes-vous équipés RVSM ?,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-007,Au Procedure,b)- Est-ce que vous avez un équipement RVSM à bord ?,- Confirmez homologué RVSM ?,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-008,Au Procedure,Quel est l’objectif que fourni un système Sol ADS au contrôleur ?,"- Le système Sol ADS a pour objet de fournir des services ATS, d’améliorer la précision et la | - De fournir des transmissions, réceptions, traitements et affichages des messages ADS concernant | - De fournir des services de la C/A fournis aux A/C sur la base de renseignements reçus des A/C via",,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-009,Au Procedure,"Un avion équipé ADS en état d’urgence, utilise le mode (urgence absolue) que doit faire le contrôleur dans ce cas ?",- Le contrôleur responsable du vol fournira toute l’aide possible à l’A/C par le système ADS-Sol et | - Le contrôleur responsable du vol doit accuser réception de l’information par le moyen de,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-010,Au Procedure,Que doit faire un contrôleur lorsqu’un aéronef est considère en difficulté ?,"- Avoir l’opportunité de déclenchement des phases d’urgence. | - Informe le superviseur, ou son intermédiaire. | - Doit aviser immédiatement le RCC.",,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-011,Au Procedure,Que doit faire un organisme des services de la C/A lorsqu’un A/C subit une interruption de Radiocommunication ?,- Il doit adresser un message d’interruption des radiocommunications ( RCF) à tous les organismes | - Il doit adresser un message d’alerte qui sera transmis à tout organisme des services de la C/A qui | - Il doit adresser un message RCF et un message de plan de vol ( AFIL) sui seront transmis à,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-012,Au Procedure,Que signifie le mot «approuvé» ? - Permission accordée pour la mesure demandée,,,,Référence manquante,us d’acquiescement à la demande formulée; Instruction technique RTF; Instruction technique RTF,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-013,Au Procedure,Quelle est parmi les lettres ci-après celle Indiquant le type de vol pour transport aérien régulier ? - N ?,,,,Référence manquante,Référence.1.2.1 GÉNÉRALITÉS plan de vol,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-014,Au Procedure,Quelle est parmi les lettres ci-après celle Indiquant le type d’équipement de navigation pour espace RVSM ? - I ?,,,,Référence manquante,Référence.1.2.1 GÉNÉRALITÉS plan de vol,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-015,Au Procedure,Collision évitée par hasard ou grâce à une manœuvre d'évitement?,,,,Référence manquante,Référence. Instruction technique évènement ATM,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-016,Au Procedure,"Quelle est parmi les définitions ci-après celle qui est correcte et correspond à la gestion des courants de trafic aérien (ATFM) ? - Service destiné à contribuer à la sécurité, à l’ordre et à la rapidité de l’écoulement de la circulation aérienne en faisant en sorte que la capacité ATC soit utilisée au maximum et que le volume de trafic soit compatible avec les capacités déclarées par l’autorité ATS compétente.",,,,Référence manquante,Référence. Instruction Tech CA Gestion des courants de trafic aérien (ATFM),Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-017,Au Procedure,"Quelle est parmi les définitions ci-après celle correspond à « Organisme de contrôle de la circulation aérienne » ? - Terme générique désignant, selon le cas, un centre de contrôle régional, un organisme de contrôle d’approche ou une tour de contrôle d’aérodrome.",,,,Référence manquante,Référence. Instruction Tech CA,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-018,Au Procedure,Quelle est parmi les points suivants celui qui ne correspond pas aux Objets des services de la circulation aérienne ? - D’empêcher les abordages entre aéronefs;,,,,Référence manquante,Référence. Instruction Tech CA; Référence. Instruction Tech CA Article 4,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-019,Au Procedure,Dans quelle classe d’espace un vol VFR peut accéder et peut recevoir l’information de la circulation mais ne peut être séparé des vols IFR ? - Classe C,,,,Référence manquante,Instruction Tech CA; our de routes ATS aux environs d’un ou plusieurs aérodromes; Instruction Tech CA,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-020,Au Procedure,"Quelle est la séparation verticale minimale applicable dans un environnement RVSM, pour deux aéronefs homologué suivant la même route même sens. ? - 1000’",,,,Référence manquante,Référence non indiquée,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-021,Au Procedure,Quelle est la condition d’utilisation principale pour la séparation de cinq minutes entre deux aéronefs sur la même route et même niveau de vol ?,Le premier aéronef vole à une vitesse égale à celle du deuxième aéronef. | Le premier vol a une vitesse inférieure à celle du deuxième. | Le premier aéronef vole à une vitesse vraie supérieure d’au moins 20 KT à celle de l’aéronef qui le,,,À confirmer,Doc4444,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
BANK-022,Au Procedure,Quelles sont les mesures prendre par un pilote en vol VFR en cas de panne de communication ?,Poursuivra son vol dans les conditions de vol à vue et atterrira à l’aérodrome de destination. | Annulera son vol et se posera à l’aérodrome le plus proche. | Changera son vol en IFR.,,,Référence manquante,Doc444,Import PDF brut - page à confirmer,Import progressif : cette question n'est pas encore validée avec les références fournies.,Question importée depuis la banque complète. Validation documentaire à poursuivre progressivement.
